0,under way using engine
1,at anchor
2,not under command
3,restricted manoeuvrability
4,constrained by her draught
5,moored
6,aground
7,engaged in fishing
8,under way sailing
9,reserved for future amendment of navigational status for ships carrying DG, HS, or MP, or IMO hazard or pollutant category C, high speed craft (HSC)
10,reserved for future amendment of navigational status for ships carrying dangerous goods (DG), harmful substances (HS) or marine pollutants (MP), or IMO hazard or pollutant category A, wing in grand (WIG)
11,reserved for future use
12,reserved for future use
13,reserved for future use
14,AIS-SART (active)
15,not defined = default (also used by AIS-SART under test)
